pid,label,people,_date,location,language,pages,archive,reference,trans_link,original_name,order,layout,collection,thumbnail,full
obj12,Document No. 2 | Ticket of March,"Chief Jauce, Clerk Carmy, John Williams, Rev. William Howell (translator)",September 1801,Paris,English,Page 3 of 3,"The National Archives, Kew",ADM 1/1054/774,,14.00.43,11,johnwilliams_item,johnwilliams,/img/derivatives/simple/obj12/thumbnail.jpg,/img/derivatives/simple/obj12/fullwidth.jpg
obj13,"Document No. 3 | Money Owed, Prosecution","Unknown Clerk, John Brown, Samuel Scarburgh, Citizen La Chauritiere, John Williams, George Gardner",1800-02-20,Bordeaux,French,Page 1 of 2,"The National Archives, Kew",ADM 1/1054/774,,13.53.02,12,johnwilliams_item,johnwilliams,/img/derivatives/simple/obj13/thumbnail.jpg,/img/derivatives/simple/obj13/fullwidth.jpg
obj14,"Document No. 3 | Money Owed, Prosecution","Unknown Clerk, John Brown, Samuel Scarburgh, Citizen La Chauritiere, John Williams, George Gardner, Rev. William Howell (translator)",September 1801,Bordeaux,English,Page 2 of 2,"The National Archives, Kew",ADM 1/1054/774,,14.00.52,13,johnwilliams_item,johnwilliams,/img/derivatives/simple/obj14/thumbnail.jpg,/img/derivatives/simple/obj14/fullwidth.jpg
obj15,"Document No. 4 | US Sailor's Pass, Bordeaux","Isaac Cox Barnet, John Williams",1801-04-23,Bordeaux,English,Page 1 of 5,"The National Archives, Kew",ADM 1/1054/774,,13.53.38,14,johnwilliams_item,johnwilliams,/img/derivatives/simple/obj15/thumbnail.jpg,/img/derivatives/simple/obj15/fullwidth.jpg
obj16,"Document No. 4 | US Sailor's Pass, Bordeaux","Isaac Cox Barnet, John Williams",1801-04-23,Bordeaux,English,Page 2 of 5,"The National Archives, Kew",ADM 1/1054/774,,13.54.02,15,johnwilliams_item,johnwilliams,/img/derivatives/simple/obj16/thumbnail.jpg,/img/derivatives/simple/obj16/fullwidth.jpg
obj17,"Document No. 4 | US Sailor's Pass, Bordeaux","Isaac Cox Barnet, John Williams",1801-04-24,Bordeaux,French,Page 3 of 5,"The National Archives, Kew",ADM 1/1054/774,,13.55.06,16,johnwilliams_item,johnwilliams,/img/derivatives/simple/obj17/thumbnail.jpg,/img/derivatives/simple/obj17/fullwidth.jpg
obj18,"Document No. 4 | US Sailor's Pass, Bordeaux","Isaac Cox Barnet, John Williams, Rev. William Howell (translator)",September 1801,Bordeaux,English,Page 4 of 5,"The National Archives, Kew",ADM 1/1054/774,,14.01.12,17,johnwilliams_item,johnwilliams,/img/derivatives/simple/obj18/thumbnail.jpg,/img/derivatives/simple/obj18/fullwidth.jpg
obj19,"Document No. 4 | US Sailor's Pass, Bordeaux","Isaac Cox Barnet, John Williams, Rev. William Howell (translator)",September 1801,Bordeaux,English,Page 5 of 5,"The National Archives, Kew",ADM 1/1054/774,,14.01.21,18,johnwilliams_item,johnwilliams,/img/derivatives/simple/obj19/thumbnail.jpg,/img/derivatives/simple/obj19/fullwidth.jpg
obj20,Document No. 5 | Marine République Français Passe-port,"John Williams, Sous-commissaire de Marine Brispord, Unnamed Commissaire Principal de Marine",1798-09-20,Bayonne,French,Page 1 of 3,"The National Archives, Kew",ADM 1/1054/774,,13.58.15,19,johnwilliams_item,johnwilliams,/img/derivatives/simple/obj20/thumbnail.jpg,/img/derivatives/simple/obj20/fullwidth.jpg
obj21,Document No. 5 | Marine République Français Passe-port,"John Williams, Sous-commissaire de Marine Brispord, Unnamed Commissaire Principal de Marine",1798-09-20,Bayonne,French,Page 2 of 3,"The National Archives, Kew",ADM 1/1054/774,,13.59.17,20,johnwilliams_item,johnwilliams,/img/derivatives/simple/obj21/thumbnail.jpg,/img/derivatives/simple/obj21/fullwidth.jpg
obj22,Document No. 5 | Marine République Français Passe-port,"John Williams, Sous-commissaire de Marine Brispord, Unnamed Commissaire Principal de Marine, Rev. William Howell (translator)",September 1801,Bayonne,English,Page 3 of 3,"The National Archives, Kew",ADM 1/1054/774,,14.01.43,21,johnwilliams_item,johnwilliams,/img/derivatives/simple/obj22/thumbnail.jpg,/img/derivatives/simple/obj22/fullwidth.jpg
obj23,"Document No. 6 | Money Owed, Corsair La Mouche","John Williams, Citizen La Prée, George Gardner, Unknown Clerk",1799-05-01,Bordeaux,French,Page 1 of 2,"The National Archives, Kew",ADM 1/1054/774,,13.59.40,22,johnwilliams_item,johnwilliams,/img/derivatives/simple/obj23/thumbnail.jpg,/img/derivatives/simple/obj23/fullwidth.jpg
obj24,"Document No. 6 | Money Owed, Corsair La Mouche","John Williams, Citizen La Prée, George Gardner, Unknown Clerk, Rev. William Howell (translator)",September 1801,Bordeaux,English,Page 2 of 2,"The National Archives, Kew",ADM 1/1054/774,,14.01.56,23,johnwilliams_item,johnwilliams,/img/derivatives/simple/obj24/thumbnail.jpg,/img/derivatives/simple/obj24/fullwidth.jpg
obj25,"Document No. 7 | Money Owed, 26 Francs","John Williams, Ojuul Seat (sic)",1800-02-17,Bordeaux,French,Page 1 of 2,"The National Archives, Kew",ADM 1/1054/774,,14.01.56,24,johnwilliams_item,johnwilliams,/img/derivatives/simple/obj25/thumbnail.jpg,/img/derivatives/simple/obj25/fullwidth.jpg
obj26,"Document No. 7 | Money Owed, 26 Francs","John Williams, Ojuul Seat (sic), Rev. William Howell (translator)",September 1801,Bordeaux,English,Page 2 of 2,"The National Archives, Kew",ADM 1/1054/774,,13.59.58,25,johnwilliams_item,johnwilliams,/img/derivatives/simple/obj26/thumbnail.jpg,/img/derivatives/simple/obj26/fullwidth.jpg
obj27,Letter | Letter about John Williams' Memorandum,"John Williams, Peter Turner Bover, Mark Milbanke, Evan Nepean ",1802-09-02,HMS Blenheim at Spithead,English,Page 1 of 2,"The National Archives, Kew",ADM 1/1054/774,,14.02.05,26,johnwilliams_item,johnwilliams,/img/derivatives/simple/obj27/thumbnail.jpg,/img/derivatives/simple/obj27/fullwidth.jpg
obj28,Envelope | Letter about John Williams' Memorandum,"Mark Milbanke, Peter Turner Bover",1802-09-02,HMS Blenheim at Spithead,English,Page 2 of 2,"The National Archives, Kew",ADM 1/1054/774,,14.02.45,27,johnwilliams_item,johnwilliams,/img/derivatives/simple/obj28/thumbnail.jpg,/img/derivatives/simple/obj28/fullwidth.jpg
obj29,Title | John Williams' Statement of His Case,"John Williams, Ebeneser Persons, Thomas Johnston Cox, Allen William Proby, Unnamed Wife",1801-09-12,HMS Blenheim at Spithead,English,Page 1 of 3,"The National Archives, Kew",ADM 1/1054/774,,14.02.32,28,johnwilliams_item,johnwilliams,/img/derivatives/simple/obj29/thumbnail.jpg,/img/derivatives/simple/obj29/fullwidth.jpg
obj30,Statement | John Williams' Statement of His Case,"John Williams, Ebeneser Persons, Thomas Johnston Cox, Allen William Proby, Unnamed Wife",1801-09-12,HMS Blenheim at Spithead,English,Page 2 of 3,"The National Archives, Kew",ADM 1/1054/774,,14.02.15,29,johnwilliams_item,johnwilliams,/img/derivatives/simple/obj30/thumbnail.jpg,/img/derivatives/simple/obj30/fullwidth.jpg
obj31,Statement | John Williams' Statement of His Case,"John Williams, Ebeneser Persons, Thomas Johnston Cox, Allen William Proby, Unnamed Wife",1801-09-12,HMS Blenheim at Spithead,English,Page 3 of 3,"The National Archives, Kew",ADM 1/1054/774,,14.02.48,30,johnwilliams_item,johnwilliams,/img/derivatives/simple/obj31/thumbnail.jpg,/img/derivatives/simple/obj31/fullwidth.jpg
