pid,label,title,people,_date,revolutionary_date,location,language,pages,archive,reference,article_link,trans_link,original_name
obj11,Document No. 2 | Ticket of March,"Engilsh Translation, Page 1 | Document No. 2 | Ticket of March","Chief Jauce, Clerk Carmy, John Williams, Rev. William Howell (translator)",September 1801,,Portsmouth,English,Page 2 of 3,"The National Archives, Kew",ADM 1/1054/774,https://gyups.github.io/johnwilliams/essay/document2/,https://gyups.github.io/johnwilliams/transcription/document2/,14.00.18
obj12,Document No. 2 | Ticket of March,"Engilsh Translation, Page 2 | Document No. 2 | Ticket of March","Chief Jauce, Clerk Carmy, John Williams, Rev. William Howell (translator)",September 1801,,Portsmouth,English,Page 3 of 3,"The National Archives, Kew",ADM 1/1054/774,https://gyups.github.io/johnwilliams/essay/document2/,https://gyups.github.io/johnwilliams/transcription/document2/,14.00.43
obj13,"Document No. 3 | Money Owed, Prosecution","Original French | Document No. 3 | Money Owed, Prosecution","Unknown Clerk, John Brown, Samuel Scarburgh, Citizen La Chauritiere, John Williams, George Gardner",20 February 1800,8 Ventiôse An 9,Bordeaux,French,Page 1 of 2,"The National Archives, Kew",ADM 1/1054/774,https://gyups.github.io/johnwilliams/essay/document3/,https://gyups.github.io/johnwilliams/transcription/document3/,13.53.02
obj14,"Document No. 3 | Money Owed, Prosecution","English Translation | Document No. 3 | Money Owed, Prosecution","Unknown Clerk, John Brown, Samuel Scarburgh, Citizen La Chauritiere, John Williams, George Gardner, Rev. William Howell (translator)",September 1801,,Portsmouth,English,Page 2 of 2,"The National Archives, Kew",ADM 1/1054/774,https://gyups.github.io/johnwilliams/essay/document3/,https://gyups.github.io/johnwilliams/transcription/document3/,14.00.52
obj15,"Document No. 4 | US Sailor's Pass, Bordeaux","American Pass in English, Page 1 | Document No. 4 | US Sailor's Pass, Bordeaux","Isaac Cox Barnet, John Williams",23 April 1801,,Bordeaux,English,Page 1 of 5,"The National Archives, Kew",ADM 1/1054/774,https://gyups.github.io/johnwilliams/essay/document4/,https://gyups.github.io/johnwilliams/transcription/document4/,13.53.38
obj16,"Document No. 4 | US Sailor's Pass, Bordeaux","American Pass in English, Page 2 | Document No. 4 | US Sailor's Pass, Bordeaux","Isaac Cox Barnet, John Williams",23 April 1801,,Bordeaux,English,Page 2 of 5,"The National Archives, Kew",ADM 1/1054/774,https://gyups.github.io/johnwilliams/essay/document4/,https://gyups.github.io/johnwilliams/transcription/document4/,13.54.02
obj17,"Document No. 4 | US Sailor's Pass, Bordeaux","American Pass in French | Document No. 4 | US Sailor's Pass, Bordeaux","Isaac Cox Barnet, John Williams",24 April 1801,,Bordeaux,French,Page 3 of 5,"The National Archives, Kew",ADM 1/1054/774,https://gyups.github.io/johnwilliams/essay/document4/,https://gyups.github.io/johnwilliams/transcription/document4/,13.55.06
obj18,"Document No. 4 | US Sailor's Pass, Bordeaux","American Pass in French with English Translation, Page 1 | Document No. 4 | US Sailor's Pass, Bordeaux","Isaac Cox Barnet, John Williams, Rev. William Howell (translator)",September 1801,,Portsmouth,English,Page 4 of 5,"The National Archives, Kew",ADM 1/1054/774,https://gyups.github.io/johnwilliams/essay/document4/,https://gyups.github.io/johnwilliams/transcription/document4/,14.01.12
obj19,"Document No. 4 | US Sailor's Pass, Bordeaux","American Pass in French with English Translation, Page 2 | Document No. 4 | US Sailor's Pass, Bordeaux","Isaac Cox Barnet, John Williams, Rev. William Howell (translator)",September 1801,,Portsmouth,English,Page 5 of 5,"The National Archives, Kew",ADM 1/1054/774,https://gyups.github.io/johnwilliams/essay/document4/,https://gyups.github.io/johnwilliams/transcription/document4/,14.01.21
obj20,Document No. 5 | Marine République Français Passe-port,"Original French, Page 1 | Document No. 5 | Marine République Français Passe-port","John Williams, Sous-commissaire de Marine Brispord, Unnamed Commissaire Principal de Marine",20 or 21 September 1798,"4me Jour Complementare, An 7",Bayonne,French,Page 1 of 3,"The National Archives, Kew",ADM 1/1054/774,https://gyups.github.io/johnwilliams/essay/document5/,https://gyups.github.io/johnwilliams/transcription/document5/,13.58.15
obj21,Document No. 5 | Marine République Français Passe-port,"Original French, Page 2 | Document No. 5 | Marine République Français Passe-port","John Williams, Sous-commissaire de Marine Brispord, Unnamed Commissaire Principal de Marine",20 or 21 September 1798,"4me Jour Complementare, An 8",Bayonne,French,Page 2 of 3,"The National Archives, Kew",ADM 1/1054/774,https://gyups.github.io/johnwilliams/essay/document5/,https://gyups.github.io/johnwilliams/transcription/document5/,13.59.17
obj22,Document No. 5 | Marine République Français Passe-port,English Translation | Document No. 5 | Marine République Français Passe-port,"John Williams, Sous-commissaire de Marine Brispord, Unnamed Commissaire Principal de Marine, Rev. William Howell (translator)",September 1801,,Portsmouth,English,Page 3 of 3,"The National Archives, Kew",ADM 1/1054/774,https://gyups.github.io/johnwilliams/essay/document5/,https://gyups.github.io/johnwilliams/transcription/document5/,14.01.43
obj23,"Document No. 6 | Money Owed, Corsair La Mouche","Original French | Document No. 6 | Money Owed, Corsair La Mouche","John Williams, Citizen La Prée, George Gardner, Unknown Clerk",1 May 1799,"12 Floreal, An 8",Bordeaux,French,Page 1 of 2,"The National Archives, Kew",ADM 1/1054/774,https://gyups.github.io/johnwilliams/essay/document6/,https://gyups.github.io/johnwilliams/transcription/document6/,13.59.40
obj24,"Document No. 6 | Money Owed, Corsair La Mouche","English Translation | Document No. 6 | Money Owed, Corsair La Mouche","John Williams, Citizen La Prée, George Gardner, Unknown Clerk, Rev. William Howell (translator)",September 1801,,Portsmouth,English,Page 2 of 2,"The National Archives, Kew",ADM 1/1054/774,https://gyups.github.io/johnwilliams/essay/document6/,https://gyups.github.io/johnwilliams/transcription/document6/,14.01.56
obj25,"Document No. 7 | Money Owed, 26 Francs","Original French | Document No. 7 | Money Owed, 26 Francs","John Williams, Ojuul Seat (sic)",17 February 1800,"29 Pluviôse, An 9",Bordeaux,French,Page 1 of 2,"The National Archives, Kew",ADM 1/1054/774,https://gyups.github.io/johnwilliams/essay/document7/,https://gyups.github.io/johnwilliams/transcription/document7/,14.01.56
obj26,"Document No. 7 | Money Owed, 26 Francs","English Translation | Document No. 7 | Money Owed, 26 Francs","John Williams, Ojuul Seat (sic), Rev. William Howell (translator)",September 1801,,Portsmouth,English,Page 2 of 2,"The National Archives, Kew",ADM 1/1054/774,https://gyups.github.io/johnwilliams/essay/document7/,https://gyups.github.io/johnwilliams/transcription/document7/,13.59.58
obj27,Letter about John Williams' Memorandum,Letter | Letter about John Williams' Memorandum,"John Williams, Peter Turner Bover, Mark Milbanke, Evan Nepean ",2 September 1802,,Spithead,English,Page 1 of 2,"The National Archives, Kew",ADM 1/1054/774,https://gyups.github.io/johnwilliams/essay/memorandum/,https://gyups.github.io/johnwilliams/transcription/memorandum/,14.02.05
obj28,Letter about John Williams' Memorandum,Envelope | Letter about John Williams' Memorandum,"Mark Milbanke, Peter Turner Bover",2 September 1802,,Spithead,English,Page 2 of 2,"The National Archives, Kew",ADM 1/1054/774,https://gyups.github.io/johnwilliams/essay/memorandum/,https://gyups.github.io/johnwilliams/transcription/memorandum/,14.02.45
obj29,John Williams' Statement of His Case,Title | John Williams' Statement of His Case,"John Williams, Ebeneser Persons, Thomas Johnston Cox, Allen William Proby, Unnamed Wife",12 September 1801,,Spithead,English,Page 1 of 3,"The National Archives, Kew",ADM 1/1054/774,https://gyups.github.io/johnwilliams/essay/statement/,https://gyups.github.io/johnwilliams/transcription/statement/,14.02.32
obj30,John Williams' Statement of His Case,"Statement, Page 1 | John Williams' Statement of His Case","John Williams, Ebeneser Persons, Thomas Johnston Cox, Allen William Proby, Unnamed Wife",12 September 1801,,Spithead,English,Page 2 of 3,"The National Archives, Kew",ADM 1/1054/774,https://gyups.github.io/johnwilliams/essay/statement/,https://gyups.github.io/johnwilliams/transcription/statement/,14.02.15
obj31,John Williams' Statement of His Case,"Statement, Page 2 | John Williams' Statement of His Case","John Williams, Ebeneser Persons, Thomas Johnston Cox, Allen William Proby, Unnamed Wife",12 September 1801,,Spithead,English,Page 3 of 3,"The National Archives, Kew",ADM 1/1054/774,https://gyups.github.io/johnwilliams/essay/statement/,https://gyups.github.io/johnwilliams/transcription/statement/,14.02.48
